	v1_a	v1_b	v2	v3	v4_l	v4_y	v4_u	v5_gg	v5_p	v5_g	v6_j	v6_ff	v6_aa	v6_e	v6_i	v6_x	v6_d	v6_c	v6_k	v6_cc	v6_r	v6_m	v6_q	v6_w	v7_n	v7_dd	v7_o	v7_z	v7_j	v7_ff	v7_bb	v7_h	v7_v	v8	v9_f	v9_t	v10_f	v10_t	v11	v12_t	v12_f	v13_p	v13_s	v13_g	v14	v15	desired1	desired2
14	1	0	45.83	10.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5.0	0	1	0	1	7	1	0	0	0	1	0	0.0	0	1
15	0	1	36.67	4.415	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0	1	0	1	10	1	0	0	0	1	320	0.0	0	1
16	0	1	28.25	0.875	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0.96	0	1	0	1	3	1	0	0	0	1	396	0.0	0	1
17	1	0	23.25	5.875	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3.17	0	1	0	1	10	0	1	0	0	1	120	245.0	0	1
18	0	1	21.83	0.25	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.665	0	1	1	0	0	1	0	0	0	1	0	0.0	0	1
19	1	0	19.17	8.585	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.75	0	1	0	1	7	0	1	0	0	1	96	0.0	0	1
20	0	1	25.0	11.25	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.5	0	1	0	1	17	0	1	0	0	1	200	1208.0	0	1
21	0	1	23.25	1.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.835	0	1	1	0	0	0	1	0	1	0	300	0.0	0	1
22	1	0	47.75	8.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7.875	0	1	0	1	6	1	0	0	0	1	0	1260.0	0	1
23	1	0	27.42	14.5	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.085	0	1	0	1	1	0	1	0	0	1	120	11.0	0	1
24	1	0	41.17	6.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.5	0	1	0	1	3	1	0	0	0	1	145	0.0	0	1
25	1	0	15.83	0.585	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.5	0	1	0	1	2	0	1	0	0	1	100	0.0	0	1
26	1	0	47.0	13.0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5.165	0	1	0	1	9	1	0	0	0	1	0	0.0	0	1
27	0	1	56.58	18.5	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15.0	0	1	0	1	17	1	0	0	0	1	0	0.0	0	1
28	0	1	57.42	8.5	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7.0	0	1	0	1	3	0	1	0	0	1	0	0.0	0	1
29	0	1	42.08	1.04	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5.0	0	1	0	1	6	1	0	0	0	1	500	10000.0	0	1
30	0	1	29.25	14.79	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5.04	0	1	0	1	5	1	0	0	0	1	168	0.0	0	1
31	0	1	42.0	9.79	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7.96	0	1	0	1	8	0	1	0	0	1	0	0.0	0	1
32	0	1	49.5	7.585	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7.585	0	1	0	1	15	1	0	0	0	1	0	5000.0	0	1
33	1	0	36.75	5.125	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5.0	0	1	1	0	0	1	0	0	0	1	0	4000.0	0	1
34	1	0	22.58	10.75	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.415	0	1	0	1	5	1	0	0	0	1	0	560.0	0	1
35	0	1	27.83	1.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2.0	0	1	0	1	11	1	0	0	0	1	434	35.0	0	1
36	0	1	27.25	1.585	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1.835	0	1	0	1	12	1	0	0	0	1	583	713.0	0	1
37	1	0	23.0	11.75	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	0	1	0	1	2	1	0	0	0	1	300	551.0	0	1
38	0	1	27.75	0.585	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0	1	0	1	2	0	1	0	0	1	260	500.0	0	1
39	0	1	54.58	9.415	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14.415	0	1	0	1	11	1	0	0	0	1	30	300.0	0	1
40	0	1	34.17	9.17	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.5	0	1	0	1	12	1	0	0	0	1	0	221.0	0	1
41	0	1	28.92	15.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.335	0	1	0	1	11	0	1	0	0	1	0	2283.0	0	1
42	0	1	29.67	1.415	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0.75	0	1	0	1	1	0	1	0	0	1	240	100.0	0	1
43	0	1	39.58	13.915	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8.625	0	1	0	1	6	1	0	0	0	1	70	0.0	0	1
44	0	1	56.42	28.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28.5	0	1	0	1	40	0	1	0	0	1	0	15.0	0	1
45	0	1	54.33	6.75	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2.625	0	1	0	1	11	1	0	0	0	1	0	284.0	0	1
46	1	0	41.0	2.04	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0.125	0	1	0	1	23	1	0	0	0	1	455	1236.0	0	1
47	0	1	31.92	4.46	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	6.04	0	1	0	1	3	0	1	0	0	1	311	300.0	0	1
48	0	1	41.5	1.54	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3.5	1	0	1	0	0	0	1	0	0	1	216	0.0	0	1
49	0	1	23.92	0.665	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.165	1	0	1	0	0	0	1	0	0	1	100	0.0	0	1
50	1	0	25.75	0.5	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.875	0	1	1	0	0	1	0	0	0	1	491	0.0	0	1
51	0	1	26.0	1.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1.75	0	1	1	0	0	1	0	0	0	1	280	0.0	0	1
52	0	1	37.42	2.04	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0.04	0	1	1	0	0	1	0	0	0	1	400	5800.0	0	1
53	0	1	34.92	2.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0.0	0	1	1	0	0	1	0	0	0	1	239	200.0	0	1
54	0	1	34.25	3.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	7.415	0	1	1	0	0	1	0	0	0	1	0	0.0	0	1
55	0	1	23.33	11.625	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0.835	0	1	1	0	0	1	0	0	0	1	160	300.0	0	1
56	0	1	23.17	0.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.085	0	1	1	0	0	0	1	0	0	1	0	0.0	0	1
57	0	1	44.33	0.5	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.0	0	1	1	0	0	1	0	0	0	1	320	0.0	0	1
58	0	1	35.17	4.5	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.75	1	0	1	0	0	1	0	0	1	0	711	0.0	0	1
59	0	1	43.25	3.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	6.0	0	1	0	1	11	0	1	0	0	1	80	0.0	0	1
60	0	1	56.75	12.25	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1.25	0	1	0	1	4	1	0	0	0	1	200	0.0	0	1
61	0	1	31.67	16.165	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3.0	0	1	0	1	9	0	1	0	0	1	250	730.0	0	1
62	1	0	23.42	0.79	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1.5	0	1	0	1	2	1	0	0	0	1	80	400.0	0	1
63	1	0	20.42	0.835	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1.585	0	1	0	1	1	0	1	0	0	1	0	0.0	0	1
64	0	1	26.67	4.25	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4.29	0	1	0	1	1	1	0	0	0	1	120	0.0	0	1
65	0	1	34.17	1.54	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1.54	0	1	0	1	1	1	0	0	0	1	520	50000.0	0	1
66	1	0	36.0	1.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.0	0	1	0	1	11	0	1	0	0	1	0	456.0	0	1
67	0	1	25.5	0.375	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0.25	0	1	0	1	3	0	1	0	0	1	260	15108.0	0	1
68	0	1	19.42	6.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1.46	0	1	0	1	7	0	1	0	0	1	80	2954.0	0	1
69	0	1	35.17	25.125	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.625	0	1	0	1	1	1	0	0	0	1	515	500.0	0	1
70	0	1	32.33	7.5	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1.585	0	1	1	0	0	1	0	0	1	0	420	0.0	1	0
71	1	0	38.58	5.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	13.5	0	1	1	0	0	1	0	0	0	1	980	0.0	1	0
72	0	1	44.25	0.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	10.75	0	1	1	0	0	0	1	0	1	0	400	0.0	1	0
73	0	1	44.83	7.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.625	1	0	1	0	0	0	1	0	0	1	160	2.0	1	0
74	0	1	20.67	5.29	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.375	0	1	0	1	1	0	1	0	0	1	160	0.0	1	0
75	0	1	34.08	6.5	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.125	0	1	1	0	0	1	0	0	0	1	443	0.0	1	0
76	1	0	19.17	0.585	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.585	0	1	1	0	0	1	0	0	0	1	160	0.0	1	0
77	0	1	21.67	1.165	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.5	0	1	0	1	1	0	1	0	0	1	180	20.0	1	0
78	0	1	21.5	9.75	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0	1	1	0	0	0	1	0	0	1	140	0.0	1	0
79	0	1	49.58	19.0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0	1	0	1	1	0	1	0	0	1	94	0.0	1	0
80	1	0	27.67	1.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2.0	0	1	1	0	0	0	1	0	1	0	368	0.0	1	0
81	0	1	39.83	0.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0.25	0	1	1	0	0	0	1	0	1	0	288	0.0	1	0
82	0	1	27.25	0.625	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.455	0	1	1	0	0	1	0	0	0	1	200	0.0	1	0
83	0	1	37.17	4.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5.0	0	1	1	0	0	1	0	0	1	0	280	0.0	1	0
84	0	1	25.67	2.21	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.0	0	1	1	0	0	0	1	0	0	1	188	0.0	1	0
85	0	1	34.0	4.5	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	0	1	1	0	0	1	0	0	0	1	240	0.0	1	0
86	1	0	49.0	1.5	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	1	1	0	0	1	0	0	0	1	100	27.0	1	0
87	0	1	62.5	12.75	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.0	0	1	1	0	0	0	1	0	0	1	112	0.0	1	0
88	0	1	31.42	15.5	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	0	1	1	0	0	0	1	0	0	1	120	0.0	1	0
89	0	1	52.33	1.375	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9.46	0	1	1	0	0	1	0	0	0	1	200	100.0	1	0
90	0	1	28.75	1.5	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.5	0	1	1	0	0	1	0	0	0	1	0	225.0	1	0
91	1	0	28.58	3.54	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.5	0	1	1	0	0	1	0	0	0	1	171	0.0	1	0
92	0	1	23.0	0.625	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.125	0	1	1	0	0	0	1	0	0	1	180	1.0	1	0
93	1	0	22.5	11.0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3.0	0	1	1	0	0	1	0	0	0	1	268	0.0	1	0
94	1	0	28.5	1.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1.0	0	1	0	1	2	1	0	0	0	1	167	500.0	1	0
95	0	1	37.5	1.75	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.25	0	1	1	0	0	1	0	0	0	1	164	400.0	1	0
96	0	1	35.25	16.5	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.0	0	1	1	0	0	0	1	0	0	1	80	0.0	1	0
97	0	1	18.67	5.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.375	0	1	0	1	2	0	1	0	0	1	0	38.0	1	0
98	0	1	25.0	12.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.25	0	1	0	1	2	1	0	0	0	1	120	5.0	1	0
99	0	1	27.83	4.0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.75	0	1	0	1	2	1	0	0	0	1	75	0.0	1	0
100	0	1	54.83	15.5	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0	1	0	1	20	0	1	0	0	1	152	130.0	1	0
101	0	1	28.75	1.165	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	0	1	1	0	0	0	1	0	1	0	280	0.0	1	0
102	1	0	25.0	11.0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.5	0	1	1	0	0	0	1	0	0	1	120	0.0	1	0
103	0	1	40.92	2.25	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10.0	0	1	1	0	0	1	0	0	0	1	176	0.0	1	0
104	1	0	19.75	0.75	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.795	0	1	0	1	5	1	0	0	0	1	140	5.0	1	0
105	0	1	29.17	3.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3.5	0	1	0	1	3	1	0	0	0	1	329	0.0	1	0
106	1	0	24.5	1.04	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.5	0	1	0	1	3	0	1	0	0	1	180	147.0	1	0
107	0	1	24.58	12.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0.875	0	1	1	0	0	1	0	0	0	1	260	0.0	1	0
108	1	0	33.75	0.75	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1.0	0	1	0	1	3	1	0	0	0	1	212	0.0	1	0
109	0	1	20.67	1.25	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.375	0	1	0	1	3	1	0	0	0	1	140	210.0	1	0
110	1	0	25.42	1.125	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1.29	0	1	0	1	2	0	1	0	0	1	200	0.0	1	0
111	0	1	37.75	7.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	11.5	0	1	0	1	7	1	0	0	0	1	300	5.0	1	0
112	0	1	52.5	6.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6.29	0	1	0	1	15	0	1	0	0	1	0	11202.0	0	1
113	0	1	57.83	7.04	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	14.0	0	1	0	1	6	1	0	0	0	1	360	1332.0	0	1
114	1	0	20.75	10.335	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.335	0	1	0	1	1	1	0	0	0	1	80	50.0	0	1
115	0	1	39.92	6.21	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.04	0	1	0	1	1	0	1	0	0	1	200	300.0	0	1
116	0	1	25.67	12.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1.21	0	1	0	1	67	1	0	0	0	1	140	258.0	0	1
117	1	0	24.75	12.5	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.5	0	1	0	1	12	1	0	0	0	1	120	567.0	0	1
118	1	0	44.17	6.665	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	7.375	0	1	0	1	3	1	0	0	0	1	0	0.0	0	1
119	1	0	23.5	9.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	8.5	0	1	0	1	5	1	0	0	0	1	120	0.0	0	1
120	0	1	34.92	5.0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7.5	0	1	0	1	6	1	0	0	0	1	0	1000.0	0	1
121	0	1	47.67	2.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2.5	0	1	0	1	12	1	0	0	0	1	410	2510.0	0	1
122	0	1	22.75	11.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2.5	0	1	0	1	7	1	0	0	0	1	100	809.0	0	1
123	0	1	34.42	4.25	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3.25	0	1	0	1	2	0	1	0	0	1	274	610.0	0	1
124	1	0	28.42	3.5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0.835	0	1	1	0	0	0	1	0	1	0	280	0.0	0	1
125	0	1	67.75	5.5	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13.0	0	1	0	1	1	1	0	0	0	1	0	0.0	0	1
126	0	1	20.42	1.835	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.25	0	1	0	1	1	0	1	0	0	1	100	150.0	0	1
